title,brand_name,item_type,condition,price,item_subtype,department,gender,age_group,size,size_type,color_primary,color_secondary,material_primary,material_secondary,pattern,closure,fit,sleeve_length,neckline,style,occasion,season,sport,model_name,product_line,style_code,has_box,condition_detail,release_year,original_price,initial_price,initial_price_catalog_item
New Listing Vans MTE Crosspath XC GORE-TEX Sneakers Mens 13 Black Vibram Hiking Outdoors Opens in a new window or tab,Vans,sneakers,new,149.95,hiking sneakers,footwear,men,adult,13,US,Black,,GORE-TEX,Vibram,,,,,,hiking,outdoors,,,MTE Crosspath XC,,,,Brand New,,,90.0,Slip-On Sneakers
Adidas Bermuda BRMD Mens Size 10 Mint Green Suede Gum Sole Sneakers NEW w/ Box Opens in a new window or tab,Adidas,sneakers,new,45.0,Bermuda,footwear,men,adult,10,US,Mint Green,,Suede,Gum,,,,,,,,,,Bermuda,,,yes,,,,,Suede Jacket
Supreme x Nike SB Air Max CB Low DS Size 6 Opens in a new window or tab,Supreme x Nike,sneakers,new,260.0,Air Max CB Low,footwear,,,6,US,,,,,,,,,,,,,,Air Max CB Low,Nike SB,,,Brand New,,,,Swim Trunks
Converse Chuck Taylor All Star 70 Hi Kith Bergdorf Goodman Size 10 165628C Opens in a new window or tab,Converse,sneakers,new,199.99,Chuck Taylor All Star 70 Hi,footwear,men,adult,10,US,,,,,,,,,,,,,,Chuck Taylor All Star 70,,165628C,,Brand New,,199.99,,Swim Trunks
Size 9.5 - Air Jordan 11 Retro Concord - Defining Moments Pack - DAMAGED BOX Opens in a new window or tab,Jordan,sneakers,used,430.0,Air Jordan 11 Retro,footwear,,,9.5,US,,,,,,,,,,,,,,Air Jordan 11,Defining Moments Pack,,yes,DAMAGED BOX,,,,Swim Trunks
Air Jordan 5 Retro Light Graphite and Wolf Grey (DD0587-002) (Size: 12.5M) Opens in a new window or tab,Jordan,sneakers,new,280.0,Air Jordan 5 Retro,footwear,men,adult,12.5,US,Light Graphite,Wolf Grey,,,,,,,,,,,,Air Jordan 5 Retro,,DD0587-002,,,,,,Swim Trunks
Nike Zoom Gravity University Red Silver Black Running Shoes Sneakers Size 13 Opens in a new window or tab,Nike,sneakers,used,20.0,running shoes,footwear,,,13,US,University Red,Silver Black,,,,,,,,,,,,Zoom Gravity,,,,New (Other),,,,Running Shoes
Skechers Flex Appeal 3.0 air cool memory foam women 6.5 blk Opens in a new window or tab,Skechers,sneakers,new,20.0,memory foam sneakers,footwear,women,adult,6.5,US,black,,memory foam,,,,,,,,,,,Flex Appeal 3.0,,,,,,,,Swim Trunks
NEW Asics GT-2160 White Deep Marine Silver Men’s Size 10.5 1203A320-109 Opens in a new window or tab,Asics,sneakers,new,79.97,running shoes,footwear,men,adult,10.5,US,White,Deep Marine Silver,,,,,,,,,,,,GT-2160,,1203A320-109,,,,,,Swim Trunks
Size 13 - Jordan 11 Retro Mid Gratitude / Defining Moments Opens in a new window or tab,Jordan,sneakers,new,275.0,Air Jordan 11 Retro,footwear,men,adult,13,US,,,,,,,,,,,,,,Air Jordan 11 Retro,,,,Brand New,,,,Swim Trunks
Nike SB Force 58 PRM L Olive Aura Navy Raspberry Skate Boarding DV5476-300 w/box Opens in a new window or tab,Nike,sneakers,new,85.7,skate boarding sneakers,footwear,,,9.5,US,Olive,Navy Raspberry,,,,,,,,Skate Boarding,,,Skate Boarding,SB Force 58 PRM,,DV5476-300,yes,,,,,Board Shorts
Under Armour Street Mirage W's Shoes Size 6- HydroGreen/Stone/White -3028379-377 Opens in a new window or tab,Under Armour,sneakers,new,60.0,running shoes,footwear,women,adult,6,US,HydroGreen,Stone/White,,,,,,,,,,,,Street Mirage,,3028379-377,,,,,,One-Piece Swimsuit
Size 5.5 - Women’s Rothy’s Bright White The Lace Up Athleisure Sneakers New Opens in a new window or tab,Rothy's,sneakers,new,39.99,athleisure sneakers,footwear,women,adult,5.5,US,White,,,,,Lace Up,,,,athleisure,,,,The Lace Up,,,,New (Other),,,,Minimal Sneakers
Jordan Spizike Low TD Toddler 4C Bordeaux/Hyper Royal FQ3952-641 Shoes NEW Opens in a new window or tab,Jordan,sneakers,new,29.99,low top sneakers,footwear,toddler,kids,4C,US,Bordeaux,Hyper Royal,,,,,,,,,,,,Spizike,,FQ3952-641,,Brand New,,,,Running Shoes
Nike AF1 Black Mid Height Size 10 Opens in a new window or tab,Nike,sneakers,used,65.0,mid height sneakers,footwear,,,10,US,Black,,,,,,,,,,,,,Air,AF1,,,New (Other),,,,Swim Trunks
Jordan 1 Elevate Low Silver Toe 2022 DQ8561-001 Women’s Size 6.5-7 Opens in a new window or tab,Jordan,sneakers,new,109.99,low top sneakers,footwear,women,adult,6.5-7,US,Silver,,,,,,,,,Elevate Low,,,,Jordan 1,,DQ8561-001,,Brand New,2022.0,,,Swim Trunks
Adidas Swift Run 22 True Pink/Vivid Pink Running Shoes Women’s Size US 6 1/2 Opens in a new window or tab,Adidas,sneakers,new,29.95,running shoes,footwear,women,adult,6 1/2,US,True Pink,Vivid Pink,,,,,,,,,,,running,Swift Run 22,,,,Other,,,,Running Shoes
Nike Court Borough Low Recraft Child 8C Game Royal Blue Black Shoes HM6300-480 Opens in a new window or tab,Nike,sneakers,new,29.0,low top sneakers,footwear,unisex,kids,8C,US K,Blue,Black,,,,,,,,,,,,Court Borough Low Recraft,,HM6300-480,,,,,,Running Shoes
Adidas F50 Elite AG Soccer Cleats Beam Orange Blue JH7637 Mens Size 5 Womens 6 Opens in a new window or tab,Adidas,cleats,used,149.95,soccer cleats,footwear,men,adult,5,US,Orange,Blue,,,,,,,,,,,Soccer,F50 Elite AG,,JH7637,,New (Other),,,,Swim Trunks
Balenciaga Leather Shoulder Bag City Brown Medium France Auth Opens in a new window or tab,Balenciaga,bag,new,202.5,shoulder bag,accessories,,,Medium,,Brown,,Leather,,,,,,,,,,,City Bag,,,,Other,,,120.0,Leather Belt
"Balenciaga - Women - Shoulder bag ""Bel Air"" - Burgundy Opens in a new window or tab",Balenciaga,bag,new,4200.0,shoulder bag,accessories,women,,,,Burgundy,,,,,,,,,,,,,Bel Air,,,,Other,,,495.0,Weekender Bag
BALENCIAGA Crush medium crinkled-leather shoulder bag Opens in a new window or tab,BALENCIAGA,bag,new,1249.0,shoulder bag,accessories,,,medium,,,,leather,,crinkled,,,,,,,,,City Bag,,,,,,1249.0,120.0,Leather Belt
GRiZ Cross Body Day Bag in Woven Summer Greens NEW Opens in a new window or tab,GRiZ,bag,new,150.0,,accessories,,,,,green,,woven,,,,,,,,day,summer,,Cross Body Day Bag,,,,,,,495.0,Weekender Bag
balenciaga citybag Opens in a new window or tab,balenciaga,bag,new,1200.0,city bag,accessories,,,,,,,,,,,,,,,,,,city bag,,,,,,1200.0,495.0,Weekender Bag
Baggallini Swift Crescent Crossbody Black Bag Purse Handbag LIghtweight NWT Opens in a new window or tab,Baggallini,handbag,new,29.99,,accessories,,,,,Black,,,,,,,,,,,,,Swift Crescent Crossbody,,,,NWT,,29.99,,Weekender Bag
Balenciaga Acid Green Le Cagole XS Croc Leather Shoulder Bag Purse $2550 City Opens in a new window or tab,Balenciaga,bag,new,750.0,shoulder bag,accessories,,,XS,,Acid Green,,Croc Leather,,,,,,,,,,,Le Cagole,,,,,,2550.0,120.0,Leather Belt
NEW BALENCIAGA Veau Grana Perforated Blackout Hardware S City Black Bag Opens in a new window or tab,Balenciaga,bag,new,1200.0,city bag,accessories,,,,,Black,,Veau Grana,,,,,,,,,,,,,,,,,1200.0,495.0,Weekender Bag
Balenciaga Le City Bag Leather Medium Opens in a new window or tab,Balenciaga,bag,new,1700.0,city bag,accessories,,,Medium,,,,Leather,,,,,,,,,,,Le City Bag,,,,Other,,,120.0,Leather Belt
Baggallini Womens Black Lightweight Tote Bag And Wristlet NWT $148.00 Opens in a new window or tab,unknown,bag,new,12.5,tote bag,accessories,women,,,,black,,,,,,lightweight,,,,,,,,,,,NWT,,148.0,48.0,Canvas Tote
Balenciaga City Bag classic Leather Opens in a new window or tab,Balenciaga,bag,new,350.0,city bag,accessories,,,,,,,Leather,,,,,,,classic,,,,,,,,,,350.0,120.0,Leather Belt
Balenciaga NWOT Black Leather Card Zipper Wallet with Dust Bag Opens in a new window or tab,Balenciaga,wallet,new,200.0,,accessories,,,,,Black,,Leather,,,Zipper,,,,,,,,City Bag,,,yes,New (Other),,,,Zip Hoodie
2016 Balenciaga Metal Plate City Bag Opens in a new window or tab,Balenciaga,bag,new,900.0,city bag,accessories,,,,,,,,,,,,,,,,,,City Bag,,,,,2016.0,,495.0,Weekender Bag
Baggallini Hobo Nylon Essential Crossbody Bag Black New With Tags Opens in a new window or tab,Baggallini,bag,new,49.0,,accessories,,,,,Black,,Nylon,,,,,,,,,,,,,,,With Tags,,,495.0,Weekender Bag
NWOT Gucci x Balenciaga The Hacker Project City Bag GG Canvas & Leather Opens in a new window or tab,Balenciaga,bag,new,2200.0,city bag,accessories,,,,,,,Leather,Canvas,GG,,,,,,,,,The Hacker Project,,,,New (Other),,,120.0,Leather Belt
BALENCIAGA City Satchel Bag Classic Hardware Medium Burgundy Chevre Leather NWT Opens in a new window or tab,BALENCIAGA,bag,new,2499.99,satchel bag,accessories,,,Medium,,Burgundy,,Chevre Leather,,,,,,,Classic,,,,City,,,,NWT,,2499.99,120.0,Leather Belt
2016 Balenciaga Metal Plate City Bag Opens in a new window or tab,Balenciaga,bag,new,900.0,city bag,accessories,,,,,,,,,,,,,,,,,,City Bag,,,,,2016.0,,495.0,Weekender Bag
House of Tweed Crossbody Bag Moss Plaid Beige Green NWOT GORGEOUS! Opens in a new window or tab,unknown,bag,new,26.0,crossbody bag,accessories,,,,,beige,green,,,plaid,,,,,,,,,,,,,NWOT,,,495.0,Weekender Bag
Balenciaga Le City Bag Small Opens in a new window or tab,Balenciaga,bag,new,1500.0,city bag,accessories,,,Small,,,,,,,,,,,,,,,Le City Bag,,,,Other,,,495.0,Weekender Bag
Balenciaga Neo Classic City Bag Leather Large Opens in a new window or tab,Balenciaga,bag,new,1250.0,city bag,accessories,,,Large,,,,Leather,,,,,,,,,,,Neo Classic,,,,,,1250.0,120.0,Leather Belt
Balenciaga Nano City In Rose Sable Beige Nude Color With Metalic Edge Opens in a new window or tab,Balenciaga,bag,new,1349.0,city bag,accessories,,,,,Beige,Nude,,,,,,,,,,,,Nano City,,,,,,1349.0,,Wool Beanie
Balenciaga Black Leather Neo Cagole Xs Shoulder Bag Opens in a new window or tab,Balenciaga,bag,new,1250.0,shoulder bag,accessories,,,Xs,,Black,,Leather,,,,,,,,,,,Neo Cagole,,,,,,1250.0,120.0,Leather Belt
CARIEDO Women's Evening Clutch Purse Green Velvet with A Gold-tone Chain Link Opens in a new window or tab,unknown,clutch,new,9.0,evening clutch,accessories,women,adult,,,green,gold,velvet,,,,,,,,evening,,,,,,,(Other),,,,One-Piece Swimsuit
Balenciaga Le Cagole Small Shoulder Bag Metallic Bronze Opens in a new window or tab,Balenciaga,bag,new,990.0,shoulder bag,accessories,,,Small,,Bronze,Metallic,,,,,,,,,,,,Le Cagole,,,,,,990.0,495.0,Weekender Bag
"Balenciaga Le City First Bag with Brass Hardware, Parma Lambskin Opens in a new window or tab",Balenciaga,bag,new,1600.0,city bag,accessories,,,,,,,Lambskin,,,,,,,,,,,Le City First Bag,,,,Other,,1600.0,495.0,Weekender Bag
Baggallini Carry All Large Travel Laptop Tote Luggage Strap Multi Pockets Opens in a new window or tab,unknown,bag,used,35.0,,accessories,,,,,,,,,,,,,,,,,,,,,,New (Other),,,48.0,Canvas Tote
Balenciaga Large City Bag Opens in a new window or tab,Balenciaga,bag,new,390.0,city bag,accessories,,,Large,,,,,,,,,,,,,,,,,,,Other,,,495.0,Weekender Bag
Balenciaga le City Small Black Leather Top Handle Bag Opens in a new window or tab,Balenciaga,bag,new,1500.0,top handle bag,accessories,,,Small,,Black,,Leather,,,,,,,,,,,City Bag,,,,Other,,,120.0,Leather Belt
"RARE BALENCIAGA ""BLANKET"" SHOULDER SQUARE MEDIUM FLORAL ROSE LEATHER SATCHEL/BAG Opens in a new window or tab",Balenciaga,bag,new,359.0,satchel,accessories,,,Medium,,Rose,,Leather,,Floral,,,,,,,,,City Bag,,,,Other,,,120.0,Leather Belt
Soft Leather Travel Organizer Pack with Water Bottle Holder Light Weight - Black Opens in a new window or tab,unknown,bag,new,26.99,,accessories,,,,,Black,,Leather,,,,,,,,,,,,,,,,,,120.0,Leather Belt
Tactically Waist Bags Small Utility Pouch Mini Wallets Keys Coin Purse Pocket US Opens in a new window or tab,unknown,bags,new,11.35,waist bag,accessories,,,small,,,,,,,,,,,,,,,,,,,,,,,Utility Pants
NWT Balenciaga Mini Rodeo Smooth Calfskin Top Handle Bag in Almond Opens in a new window or tab,Balenciaga,bag,new,2400.0,top handle bag,accessories,,,,,Almond,,Calfskin,,,,,,,,,,,Mini Rodeo,,,,Brand New,,2400.0,495.0,Weekender Bag
Balenciaga Le City Small Denim Shoulder Bag In Washed Blue With Shoulder Strap Opens in a new window or tab,Balenciaga,bag,new,2369.98,shoulder bag,accessories,,,Small,,Blue,,Denim,,,,,,,,,,,Le City,,,,,,2369.98,495.0,Weekender Bag
Indian Handmade Pink Block Print Cotton Quilted Tote Bag Flowers Closure Crane Opens in a new window or tab,unknown,bag,new,24.0,tote bag,accessories,,,,,pink,,cotton,,floral,crane,,,,,,,,,,,,other,,,48.0,Canvas Tote
Handmade Women's Genuine Cowhide Leather Handbag | Real Hair on Boho Purse Opens in a new window or tab,Balenciaga,handbag,new,125.54,,accessories,women,,,,,,Leather,,Boho,,,,,,,,,City Bag,,,,,,125.54,,Leather Jacket
NEW Fossil Jori Zip Leather Wristlet Flower Style 8 x 4.5 Retail $78.00 Opens in a new window or tab,Fossil,bag,new,30.99,wristlet,accessories,,,8 x 4.5,,,,Leather,,Flower,Zip,,,,,,,,Jori,,,,Brand New,,78.0,120.0,Leather Belt
chest cross body bags for man and woman up leather for business Opens in a new window or tab,Balenciaga,bag,new,7.99,,accessories,unisex,,,,,,leather,,,,,,,,business,,,City Bag,,,,,,,120.0,Leather Belt
American Leather Bag Opens in a new window or tab,unknown,bag,used,14.0,,accessories,,,,,,,leather,,,,,,,,,,,,,,,New (Other),,,120.0,Leather Belt
New Baggallini Tan Crossbody Sling Bag Woman’s Opens in a new window or tab,unknown,bag,new,50.0,,accessories,women,,,,tan,,,,,,,,,,,,,,,,,,,,495.0,Weekender Bag
Balenciaga 115748 Red Leather Classic City Bag New Opens in a new window or tab,Balenciaga,bag,new,1299.0,city bag,accessories,,,,,Red,,Leather,,,,,,,Classic,,,,City Bag,,115748,,New (Other),,,120.0,Leather Belt
Brand New Balenciaga Classic City Bag Mini Crossbody In Blue Croc - Embossed Opens in a new window or tab,Balenciaga,bag,new,868.0,crossbody bag,accessories,,,,,Blue,,Croc,,Embossed,,,,,Classic,,,,City Bag Mini,,,,New (Other),,,495.0,Weekender Bag
BALENCIAGA Le City Medium Mineral Blue Arena Leather Bag New & Aut Opens in a new window or tab,BALENCIAGA,bag,new,1950.0,city bag,accessories,,,Medium,,Mineral Blue,,Leather,,,,,,,,,,,Le City,,,,,,1950.0,120.0,Leather Belt
Brand New - Balenciaga Part Time Giant 21 Anthracite with Rose Gold Hardward Opens in a new window or tab,Balenciaga,bag,new,1795.0,city bag,accessories,,,,,Anthracite,Rose Gold,,,,,,,,,,,,Part Time Giant 21,,,,,,1795.0,,Wool Beanie
RRP $3290 BALENCIAGA Crush Quilted Leather Shoulder Bag B Logo Chain Strap NEW Opens in a new window or tab,BALENCIAGA,bag,new,1497.0,shoulder bag,accessories,,,,,,,Leather,,Quilted,,,,,,,,,Crush,,,,New (Other),,3290.0,120.0,Leather Belt
Womens Fashion Suede Evening Clutch Crossbody Evening Handbag With Chain Strap Opens in a new window or tab,unknown,handbag,new,19.99,clutch,accessories,women,,,,,,suede,,,,,,,,evening,,,,,,,,,,,Suede Jacket
Baggallini womens Out and About Crossbody Opens in a new window or tab,unknown,bag,used,27.99,,accessories,women,,,,,,,,,,,,,,,,,,,,,New (Other),,,495.0,Weekender Bag
Authentic Balenciaga Downtown Shoulder Bag Opens in a new window or tab,Balenciaga,bag,new,650.0,shoulder bag,accessories,,,,,,,,,,,,,,,,,,Downtown,,,,,,650.0,495.0,Weekender Bag
Balenciaga Crush Medium Chain Shoulder Bag Quilted Nude Leather New Opens in a new window or tab,Balenciaga,bag,new,1650.0,shoulder bag,accessories,,,,,nude,,leather,,quilted,,,,,,,,,City Bag,,,,,,1650.0,120.0,Leather Belt
Balenciaga Optic White Le City Medium Bag BNWT $2990 RETAIL ‼️ Opens in a new window or tab,Balenciaga,bag,new,2100.0,city bag,accessories,,,,,White,,,,,,,,,,,,,Le City,,,,BNWT,,2990.0,495.0,Weekender Bag
Balenciaga - Le City Bag - Medium - Black - Leather - New - Made in Italy Opens in a new window or tab,Balenciaga,bag,new,2200.0,city bag,accessories,,,Medium,,Black,,Leather,,,,,,,,,,,Le City Bag,,,,Brand New,,2200.0,120.0,Leather Belt
Tactical EDC Pouch Waist Bag Belt Bag Wallet Key Purse for Card Bag USA Opens in a new window or tab,unknown,bag,used,10.55,,accessories,,,,,,,,,,,,,,,,,,,,,,New (Other),,,120.0,Leather Belt
"Michael Kors Mercurio Crossbody Satchel Bag Black Pebbled Leather, Medium Opens in a new window or tab",Michael Kors,bag,new,115.0,crossbody satchel bag,accessories,,,Medium,,Black,,Leather,,Pebbled,,,,,,,,,Mercurio,,,,Other,,,120.0,Leather Belt
Baggallini Bagg Women's Bryant Crossbody Bag Take Two RFID BLACK/RED FLORAL 5x7' Opens in a new window or tab,Baggallini,bag,new,40.0,crossbody bag,accessories,women,,5x7,,black,red,,,floral,,,,,,,,,Bryant,,,,,,,495.0,Weekender Bag
Vintage Balenciaga City Bag Opens in a new window or tab,Balenciaga,bag,used,1250.0,city bag,accessories,,,,,,,,,,,,,,,,,,City Bag,,,,New (Other),,,495.0,Weekender Bag
NWT Balenciaga Le Cagole Medium Shoulder Bag Purse Crocodile Embossed Grey Opens in a new window or tab,Balenciaga,bag,new,1499.99,shoulder bag,accessories,,,Medium,,Grey,,Crocodile Embossed,,,,,,,,,,,Le Cagole,,,,New (Other),,1499.99,495.0,Weekender Bag
Balenciaga Le City Medium Silver Leather Shoulder Bag NWT Opens in a new window or tab,Balenciaga,bag,new,2419.95,shoulder bag,accessories,,,Medium,,Silver,,Leather,,,,,,,,,,,Le City,,,,NWT,,2419.95,120.0,Leather Belt
BALENCIAGA VILLE GRAFFITI BAG Opens in a new window or tab,BALENCIAGA,bag,new,1200.0,,accessories,,,,,,,,,graffiti,,,,,,,,,VILLE,,,,,,1200.0,495.0,Weekender Bag
New Levis 501 Denim High Rise Mid Thigh Blue Jean Shorts Button Fly Raw Hem 29 Opens in a new window or tab,Levis,shorts,new,19.95,denim shorts,bottoms,women,,29,,blue,,denim,,,button fly,high rise,,,,,,,501,,,,,,,128.0,Denim Jacket
Levis 501 Denim Shorts Womens 29 High Rise Button Fly Hemmed Mom Jeans Mid Thigh Opens in a new window or tab,Levis,shorts,new,19.99,mom jeans,bottoms,women,adult,29,,denim,,denim,,,button fly,high rise,,,,,,,501,,,,,,,128.0,Denim Jacket
NWT Levi's 501 Size 31 x 26 Original Cropped Women’s Jeans Medium Gray High-Rise Opens in a new window or tab,Levi's,jeans,new,18.0,high-rise,bottoms,women,adult,31 x 26,,gray,,,,,,,,,,,,,501,,,,NWT,,,180.0,Straight Leg Jeans
NWT LEVIS 501 HIGH RISE DISTRESSED CUTOFF BUTTON FLY JEAN SHORTS WOMENS SZ 30 Opens in a new window or tab,LEVIS,shorts,new,10.0,distressed cutoff jean shorts,bottoms,women,adult,30,,,,jean,,,button fly,high rise,,,,,,,501,,,,NWT,,,180.0,Straight Leg Jeans
Levi's 501 high waisted rolled denim jean shorts NWT NEW Opens in a new window or tab,Levi's,shorts,new,10.0,denim jean shorts,bottoms,women,,31 x 3.5,,blue,,denim,,,,high waisted,,,,,,,501,,,,NWT,,,128.0,Denim Jacket
Levi (27) 501 Shorts High Rise Fitted Hip Cotton Premium Blue Denim Shorts Opens in a new window or tab,Levi,shorts,new,33.99,high rise fitted hip shorts,bottoms,women,adult,27,,blue,,cotton,denim,,,fitted,,,,,,,501,,,,brand new,,,128.0,Denim Jacket
Levi's Women's 501 Curve Shorts - Memories Of You 26 Opens in a new window or tab,Levi's,shorts,used,20.39,curve shorts,bottoms,women,adult,26,,,,,,,,,,,,,,,501,,,,New (Other),,,180.0,Straight Leg Jeans
Levi’s Women’s 501 Original A High Rise Straight Fit Light Indigo Size:28x30 Opens in a new window or tab,Levi's,jeans,new,34.44,straight leg jeans,bottoms,women,adult,28x30,,light indigo,,,,,,high rise straight fit,,,original,,,,501,,,,,,,180.0,Straight Leg Jeans
Levi's Fresh 501 Jeans Women's Size 28 Pink Denim Straight Leg Original Opens in a new window or tab,Levi's,jeans,new,29.99,straight leg jeans,bottoms,women,adult,28,,pink,,denim,,,,,,,,,,,501,,,,,,,180.0,Straight Leg Jeans
NWT Levi's 501 Skinny in Horizons High Rise Button Fly Rigid Denim Jeans 27 Opens in a new window or tab,Levi's,jeans,new,52.0,skinny jeans,bottoms,women,adult,27,,,,denim,,,button fly,skinny,,,high rise,,,,501,,,,,,,200.0,Organic Denim Jeans
"Levi's 501 Women's Mid-Rise Ripped Distressed Jean Denim Shorts, Blue, 32 Opens in a new window or tab",Levi's,shorts,new,20.99,denim shorts,bottoms,women,,32,,blue,,denim,,,,mid-rise,,,ripped distressed,,,,501,,,,brand new,,,128.0,Denim Jacket
"Levi's Women's High-Rise 501 Jeans - Black Sprout 25: Midweight Denim, Straight Opens in a new window or tab",Levi's,jeans,new,28.99,high-rise straight leg jeans,bottoms,women,adult,25,waist,black,,denim,,,,high-rise,,,,,,,501,,,,,,,180.0,Straight Leg Jeans
Levi's Women's 501 Curve Jeans - Weather Now 26 Opens in a new window or tab,Levi's,jeans,used,24.64,curve jeans,bottoms,women,adult,26,waist,,,,,,,,,,,,,,501,,,,New (Other),,,180.0,Straight Leg Jeans
NWT LEVI'S LEVIS 501 SHORTS BUTTON FLY DENIM SHORTS WOMENS SIZE 32 Opens in a new window or tab,LEVI'S,shorts,new,14.99,501 shorts,bottoms,women,,32,,denim,,denim,,,button fly,,,,,,,,501,,,,,,,128.0,Denim Jacket
Levi's 501 '90s Selvedge Jeans Women's Size 32x30 Blue Denim Cotton Opens in a new window or tab,Levi's,jeans,new,84.99,selvedge jeans,bottoms,women,adult,32x30,,blue,,denim,cotton,,,,,,,,,,501,,,,,,,200.0,Organic Denim Jeans
"Levi's Premium 501 Mid-Thigh High Rise Shorts, Women’s 32, Button Fly, NWT Opens in a new window or tab",Levi's,shorts,new,38.0,high rise shorts,bottoms,women,adult,32,,,,,,,button fly,high rise,,,,,,,501,Premium,,,NWT,,,180.0,Straight Leg Jeans
Levi's 501 Shorts Women's Size 33 Original Distressed High Rise Black Jean NWT Opens in a new window or tab,Levi's,shorts,new,15.99,high rise shorts,bottoms,women,adult,33,,black,,jean,,,,high rise,,,distressed,,,,501,,,,NWT,,,180.0,Straight Leg Jeans
Levi's Women's 501 Curve Jeans - Play On Ref 27 Opens in a new window or tab,Levi's,jeans,new,28.99,curve jeans,bottoms,women,adult,27,waist,,,,,,,,,,,,,,501,,,,Brand New,,,180.0,Straight Leg Jeans
Levi's Womens 501 '90s Ankle Jeans A9150-0002 MEDIUM WASH Size 28x27 NWT Opens in a new window or tab,Levi's,jeans,new,69.99,ankle jeans,bottoms,women,adult,28x27,,medium wash,,,,,,,,,90s,,,,,,A9150-0002,,NWT,,,180.0,Straight Leg Jeans
LEVIS Premium Button Fly High Rise Non Stretch Ivory Denim 501 Shorts NWT 28 Opens in a new window or tab,LEVIS,shorts,new,19.46,501 shorts,bottoms,women,adult,28,,ivory,,denim,,,button fly,high rise,,,non stretch,,,,,,,,NWT,,,128.0,Denim Jacket
Levi's Premium 501 90S Jeans Women's 30x27 Blue Medium Wash Straight Leg GBO2258 Opens in a new window or tab,Levi's,jeans,new,118.0,straight leg jeans,bottoms,women,adult,30x27,,blue,,,,,,,,,,,,,501,Premium,GBO2258,,,,,180.0,Straight Leg Jeans
Levi’s Premium 501 90’s Mid Rise Size 28 Inseam 32 Jeans Opens in a new window or tab,Levi's,jeans,new,29.99,mid rise,bottoms,women,adult,28,,,,,,,,,,,,,,,501,Premium,,,,,,180.0,Straight Leg Jeans
NWT Levi’s 501 Original Women’s Premium Cropped Jeans W23 L27 White Capri Opens in a new window or tab,Levi's,jeans,new,50.0,cropped jeans,bottoms,women,adult,23x27,waist x inseam,White,,,,,,,,,,,,,,,,,Brand New,,50.0,180.0,Straight Leg Jeans
Levi's 501 Button Fly Shorts High Rise Mid Thigh Sz 29 NWT Frayed Mid Thigh $69 Opens in a new window or tab,Levi's,shorts,new,29.99,high rise shorts,bottoms,women,adult,29,,,,,,,button fly,high rise,,,,,,,501,,,,NWT,,69.0,180.0,Straight Leg Jeans
Levis Jeans Womens 29 L30 Blue 501 Original Straight Leg Button Fly Denim Pants Opens in a new window or tab,Levis,jeans,new,34.88,straight leg,bottoms,women,adult,29x30,,blue,,denim,,,button fly,,,,,,,,501,,,,,,,180.0,Straight Leg Jeans
"NEW Levi’s 501 Women’s Distressed Denim Shorts, Button fly, Size 31 Opens in a new window or tab",Levi's,shorts,new,19.99,distressed denim shorts,bottoms,women,adult,31,,,,denim,,,button fly,,,,,,,,501,,,,brand new,,,128.0,Denim Jacket
White Denim Levi's 501 Cotton Denim Unisex Size 36 x 32 Button Fly Straight Leg Opens in a new window or tab,Levi's,jeans,used,44.0,straight leg jeans,bottoms,women,adult,36 x 32,,white,,cotton denim,,,button fly,straight leg,,,,,,,501,,,,New (Other),,,180.0,Straight Leg Jeans
Levis 501 CT Jeans Womens 31 34x30 Tapered Leg Button Fly Ripped Patch 501CT NWT Opens in a new window or tab,Levis,jeans,new,48.89,tapered leg,bottoms,women,adult,31 34x30,,,,,,,button fly,tapered,,,,,,,501CT,,,,NWT,,,180.0,Straight Leg Jeans
New Women's Levi's Premium 501 Button Fly Skinny Blue Denim Jeans Size W29x32 Opens in a new window or tab,Levi's,jeans,new,58.36,skinny jeans,bottoms,women,adult,W29x32,waist x inseam,blue,,denim,,,button fly,skinny,,,premium,,,,501,,,,,,,200.0,Organic Denim Jeans
Levi's 501 Distressed Cut Off Denim Shorts Blue High Rise Button Women's Size 32 Opens in a new window or tab,Levi's,shorts,used,14.0,distressed cut off denim shorts,bottoms,women,adult,32,,blue,,denim,,,button,high rise,,,distressed,,,,501,,,,new (other),,,128.0,Denim Jacket
Deadstock Vintage Y2K Levi's 501 Jeans Size 30x34 Button Fly 100% Cotton New Opens in a new window or tab,Levis,jeans,new,81.0,501,bottoms,women,adult,30x34,,,,Cotton,,,Button Fly,,,,,,,,,,,,Deadstock,,,180.0,Straight Leg Jeans
Levis 501 For Women 32x32 Straight Leg Red Jeans Button Fly Vintage Made In USA Opens in a new window or tab,Levis,jeans,used,19.95,straight leg jeans,bottoms,women,adult,32x32,,red,,,,,button fly,straight leg,,,,,,,501,,,,New (Other),,,180.0,Straight Leg Jeans
"HOT DEAL Levi's® Premium 501 '90s Lightweight Women's Jeans, Fun Flare - 32 x 30 Opens in a new window or tab",Levi's,jeans,new,26.19,fun flare,bottoms,women,adult,32 x 30,,,,,,,,,,,90s,,,,501,Premium,,,Brand New,,,180.0,Straight Leg Jeans
Levis 501 Shorts Womens Large Blue Distressed High Rise Denim Raw Hem Waterless Opens in a new window or tab,Levis,shorts,new,18.7,,bottoms,women,adult,Large,,Blue,,Denim,,,,High Rise,,,,,,,501,,,,,,,128.0,Denim Jacket
